"","FEC_ID","Year","X.x","C10","M01","M10","M20","M30","M40","M50","S10","S20","S50","R10","X_first_score","X_second_score","total_spent","STATE.ABBREVIATION","DISTRICT","X.1","candidate.last","X.y","X1","STATE","incumbent","candidate.first","candidate.name","TOTAL.VOTES","PARTY","PRIMARY","primary.perc","RUNOFF","runoff.perc","GENERAL","GE.perc","woman","Total population","18 years and over","Under 20","20 to 44 years","45 to 64 years","Over 65","Median age (years)","White","Black or African American","American Indian and Alaska Native","Asian","Native Hawaiian and Other Pacific Islander","Some other race","Two or more races","Hispanic or Latino (of any race)","Born in United States","Foreign born","Percent Over 16 In labor force","Unemployment Rate","Median (dollars)","Median household income (dollars)","Mean household income (dollars)","All people","Percent high school graduate or higher","Percent bachelor's degree or higher"
"1","H0AL02087",2012,931,1,0,0,0,0,0,0,0,0,0,0,-0.678346200783401,-0.066981648528123,253,"AL","02",140,"Roby",10100,11,"Alabama","(I)","Martha","Roby, Martha",NA,"R","Unopposed","","","","180,591","63.60%",1,0.269934363,0.461232463,0.543312808,0.403971064,0.515481041,0.323029945,0.377289377,0.580745362,0.476233877,0.012767186,0.014141193,0.003296137,0.035353475,0.04588385,0.032921462,0.952653266,0.034745934,0.476660647,0.273809524,0.033204685,0.16424937,0.109354414,0.417475728,0.74744898,0.21474359
"2","H0AL07086",2012,1348,0,0,0,0,0,0,0,1,0,0,0,0.248956043239761,0.100549327646035,1000,"AL","07",154,"Sewell",4623,47,"Alabama","(I)","Terri A.","Sewell, Terri A.",NA,"D","Unopposed","","","","232,520","75.85%",1,0.260842325,0.509691849,0.589217272,0.438368653,0.440502537,0.288743362,0.296703297,0.223328841,0.932902974,0.010036919,0.01243415,0,0.012828564,0.015590971,0.031192455,0.964566152,0.035048363,0.414771849,0.547619048,0.014506255,0.058843417,0.034917263,0.653721683,0.742346939,0.184294872
"3","H0AR01083",2012,1448,0,0,0,0,0,0,0,0,0,0,1,0.327608910583265,0.207281368431262,11993,"AR","01",194,"Crawford",2026,203,"Arkansas","(I)","Rick ","Crawford, Rick ",NA,"R","Unopposed","","","","138,800","56.23%",0,0.351731194,0.451408816,0.543424142,0.358589725,0.571613137,0.342873895,0.417582418,0.762709744,0.255936002,0.011048933,0.000932359,0.018695422,0.020602953,0.094022226,0.027565562,0.977495011,0.018521645,0.441030023,0.488095238,0.014772425,0.102540697,0.079033971,0.478964401,0.734693878,0.09775641
"4","H0AR01109",2010,419,1,0,0,0,0,0,0,0,0,0,0,-0.678346200783401,-0.066981648528123,69656,"AR","01",186,"Causey",267,268,"Arkansas","","Chad","Causey, Chad",NA,"D","25,854","26.98%","39,402","51.47%","78,267","43.48%",0,0.351731194,0.451408816,0.543424142,0.358589725,0.571613137,0.342873895,0.417582418,0.762709744,0.255936002,0.011048933,0.000932359,0.018695422,0.020602953,0.094022226,0.027565562,0.977495011,0.018521645,0.441030023,0.488095238,0.014772425,0.102540697,0.079033971,0.478964401,0.734693878,0.09775641
"5","H0AR02107",2010,420,0.00042143216698079,0,0.528417405148496,0.00553715041616426,0.00303001923759799,0.279470010028525,0.108606581365674,0.0487768711783321,0,0.00385142174824111,0.0218891087099883,0.296821709809812,0.164392055799559,512538,"AR","02",206,"Griffin",27910,280,"Arkansas","","Tim","Griffin, Tim",NA,"R","24,610","61.69%","","","122,091","57.90%",0,0.441843395,0.443026787,0.566366922,0.443610878,0.479039345,0.284358366,0.340659341,0.679981806,0.341750727,0.014900721,0.019577769,0.003488952,0.037947029,0.068890619,0.050259977,0.935597598,0.056285318,0.583509018,0.178571429,0.046579718,0.190501547,0.158038922,0.359223301,0.841836735,0.310897436
"6","H0AR02107",2012,1280,0,0,0.753753946964673,0,0.00122244548487038,0,0.199362546645946,0,0,0.00359309887455829,0.0420679620299524,0.311302513833848,0.188530304033519,202054,"AR","02",207,"Griffin",21110,212,"Arkansas","(I)","Tim ","Griffin, Tim ",NA,"R","Unopposed","","","","158,175","55.19%",0,0.441843395,0.443026787,0.566366922,0.443610878,0.479039345,0.284358366,0.340659341,0.679981806,0.341750727,0.014900721,0.019577769,0.003488952,0.037947029,0.068890619,0.050259977,0.935597598,0.056285318,0.583509018,0.178571429,0.046579718,0.190501547,0.158038922,0.359223301,0.841836735,0.310897436
"7","H0AR02131",2010,421,1,0,0,0,0,0,0,0,0,0,0,-0.678346200783401,-0.066981648528123,55837,"AR","02",202,"Elliott",282,283,"Arkansas","","Joyce","Elliott, Joyce",NA,"D","30,420","39.73%","37,021","53.76%","80,687","38.27%",1,0.441843395,0.443026787,0.566366922,0.443610878,0.479039345,0.284358366,0.340659341,0.679981806,0.341750727,0.014900721,0.019577769,0.003488952,0.037947029,0.068890619,0.050259977,0.935597598,0.056285318,0.583509018,0.178571429,0.046579718,0.190501547,0.158038922,0.359223301,0.841836735,0.310897436
"8","H0AR03071",2010,775,0,0,1,0,0,0,0,0,0,0,0,0.324323651994905,0.20748275659988,405,"AR","03",235,"Moore",3006,301,"Arkansas","","Mike","Moore, Mike",NA,"R","4,801","7.71%","","","","",0,0.555817329,0.358205433,0.663098607,0.472453442,0.382716195,0.228166612,0.274725275,0.842884379,0.037881278,0.045243868,0.046880757,0.078363799,0.119426773,0.113288839,0.15829115,0.830760684,0.164076528,0.604401288,0.30952381,0.056494544,0.196502527,0.171864208,0.359223301,0.737244898,0.302884615
"9","H0AR04079",2010,422,0.0468293521223578,0,0.291609383055508,0.225382368104485,0,0,0.150004296270837,0,0,0,0.286174600446812,0.253424895338395,0.158517320392906,46552,"AR","04",247,"Rankin",30710,308,"Arkansas","","Beth Anne","Rankin, Beth Anne",NA,"R","9,761","55.37%","","","71,526","40.15%",1,0.32002862,0.469083437,0.550009559,0.275416991,0.638539541,0.389243192,0.465201465,0.720546018,0.283957716,0.022361389,0.004397174,0.018212679,0.084226558,0.044573329,0.05733614,0.954390496,0.043483744,0.400725,0.285714286,0.011977642,0.107873963,0.066177964,0.462783172,0.765306122,0.121794872
"10","H0AR04079",2012,932,1,0,0,0,0,0,0,0,0,0,0,-0.678346200783401,-0.066981648528123,544,"AR","04",248,"Rankin",22410,225,"Arkansas","","Beth Anne","Rankin, Beth Anne",NA,"R","13,460","37.07%","","","","",1,0.32002862,0.469083437,0.550009559,0.275416991,0.638539541,0.389243192,0.465201465,0.720546018,0.283957716,0.022361389,0.004397174,0.018212679,0.084226558,0.044573329,0.05733614,0.954390496,0.043483744,0.400725,0.285714286,0.011977642,0.107873963,0.066177964,0.462783172,0.765306122,0.121794872
