"","X1","STATE","STATE.ABBREVIATION","DISTRICT","FEC.ID.","incumbent","candidate.first","candidate.last","candidate.name","TOTAL.VOTES","PARTY","PRIMARY","primary.perc","RUNOFF","runoff.perc","GENERAL","GE.perc","GE.RUNOFF","GE.RUNOFF..","COMBINED.GE.PARTY.TOTALS..CT..NY.","COMBINED....CT..NY.","FOOTNOTES","year"
"1",2,"Alabama","AL","01","H2AL01077","(I)","Jo","Bonner","Bonner, Jo","","R","Unopposed","","","","210,660","98.27%","","","","","","2008"
"3",4,"Alabama","AL","01","H8AL01058","","Thomas E.","Fuller","Fuller, Thomas E. #","","D","Unopposed","","","","#","","","","","","# Thomas Fuller withdrew after the primary election.","2008"
"5",6,"Alabama","AL","02","H8AL02130","","Bobby","Bright","Bright, Bobby","","D","19,456","66.64%","","","144,368","50.23%","","","","","","2008"
"6",7,"Alabama","AL","02","H8AL02155","","Cendie","Crawley","Crawley, Cendie","","D","5,110","17.50%","","","","","","","","","","2008"
"7",8,"Alabama","AL","02","H8AL02148","","Cheryl","Sabel","Sabel, Cheryl","","D","4,631","15.86%","","","","","","","","","","2008"
"9",10,"Alabama","AL","02","H8AL02080","","Jay","Love","Love, Jay","","R","20,131","35.48%","24,725","53.11%","142,578","49.61%","","","","","","2008"
"10",11,"Alabama","AL","02","H8AL02106","","Harri Anne","Smith","Smith, Harri Anne","","R","12,349","21.77%","21,827","46.89%","","","","","","","","2008"
"11",12,"Alabama","AL","02","H8AL02122","","Craig D.","Schmidtke","Schmidtke, Craig D.","","R","11,350","20.01%","","","","","","","","","","2008"
"12",13,"Alabama","AL","02","H4AL02048","","David","Woods","Woods, David","","R","9,757","17.20%","","","","","","","","","","2008"
"13",14,"Alabama","AL","02","H8AL02114","","David","Grimes","Grimes, David","","R","2,324","4.10%","","","","","","","","","","2008"
"14",15,"Alabama","AL","02","H8AL02098","","John W.","Martin","Martin, John W.","","R","824","1.45%","","","","","","","","","","2008"
"18",19,"Alabama","AL","03","H2AL03032","(I)","Mike","Rogers","Rogers, Mike","","R","Unopposed","","","","142,708","54.03%","","","","","","2008"
"19",20,"Alabama","AL","03","H8AL03047","","Joshua","Segall","Segall, Joshua","","D","Unopposed","","","","121,080","45.84%","","","","","","2008"
"22",23,"Alabama","AL","04","H6AL04098","(I)","Robert","Aderholt","Aderholt, Robert","","R","Unopposed","","","","196,741","74.76%","","","","","","2008"
"23",24,"Alabama","AL","04","H8AL04052","","Nicholas B.","Sparks","Sparks, Nicholas B.","","D","15,777","58.09%","","","66,077","25.11%","","","","","","2008"
"24",25,"Alabama","AL","04","H8AL04045","","Greg","Warren","Warren, Greg","","D","11,381","41.91%","","","","","","","","","","2008"
"28",29,"Alabama","AL","05","H8AL05109","","Parker","Griffith","Griffith, Parker","","D","34,543","89.92%","","","158,324","51.52%","","","","","","2008"
"29",30,"Alabama","AL","05","H8AL05117","","David","Maker","Maker, David","","D","3,874","10.08%","","","","","","","","","","2008"
"31",32,"Alabama","AL","05","H4AL05025","","Wayne","Parker","Parker, Wayne","","R","18,515","48.80%","16,031","78.73%","147,314","47.94%","","","","","","2008"
"32",33,"Alabama","AL","05","H8AL05133","","Cheryl Baswell","Guthrie","Guthrie, Cheryl Baswell","","R","6,942","18.30%","4,330","21.27%","","","","","","","","2008"
"33",34,"Alabama","AL","05","H8AL05166","","Angelo ""Doc""","Mancuso","Mancuso, Angelo ""Doc""","","R","6,161","16.24%","","","","","","","","","","2008"
"34",35,"Alabama","AL","05","H8AL05091","","Ray","McKee","McKee, Ray","","R","3,342","8.81%","","","","","","","","","","2008"
"35",36,"Alabama","AL","05","H8AL05141","","George C.","Barry","Barry, George C.","","R","2,274","5.99%","","","","","","","","","","2008"
"36",37,"Alabama","AL","05","H8AL05158","","Mark","Huff","Huff, Mark","","R","707","1.86%","","","","","","","","","","2008"
"40",41,"Alabama","AL","06","H2AL06035","(I)","Spencer","Bachus","Bachus, Spencer","","R","Unopposed","","","","280,902","97.79%","","","","","","2008"
"43",44,"Alabama","AL","07","H0AL07060","(I)","Artur","Davis","Davis, Artur","","D","Unopposed","","","","228,518","98.63%","","","","","","2008"
"47",48,"Alabama","AL","S","S6AL00195","(I)","Jeff","Sessions","Sessions, Jeff","","R","199,690","92.27%","","","1,305,383","63.36%","","","","","","2008"
"48",49,"Alabama","AL","S","S8AL00167","","Earl Mack","Gavin","Gavin, Earl Mack","","R","16,718","7.73%","","","","","","","","","","2008"
"50",51,"Alabama","AL","S","S8AL00282","","Vivian Davis","Figures","Figures, Vivian Davis","","D","112,074","63.72%","","","752,391","36.52%","","","","","","2008"
"51",52,"Alabama","AL","S","S0AL00149","","Johnny, III","Swanson","Swanson, Johnny, III","","D","38,757","22.03%","","","","","","","","","","2008"
"52",53,"Alabama","AL","S","S8AL00290","","Mark ""No NCAA""","Townsend","Townsend, Mark ""No NCAA""","","D","25,058","14.25%","","","","","","","","","","2008"
"56",57,"Alaska","AK","00","H6AK00045","(I)","Don E.","Young","Young, Don E.","","R","48,195","45.47%","","","158,939","50.14%","","","","","","2008"
"57",58,"Alaska","AK","00","H8AK00124","","Sean R.","Parnell","Parnell, Sean R.","","R","47,891","45.19%","","","","","","","","","","2008"
"58",59,"Alaska","AK","00","H8AK00116","","Gabrielle","LeDoux","LeDoux, Gabrielle","","R","9,901","9.34%","","","","","","","","","","2008"
"60",61,"Alaska","AK","00","H8AK00108","","Ethan A.","Berkowitz","Berkowitz, Ethan A.","","D","39,784","58.39%","","","142,560","44.97%","","","","","","2008"
"61",62,"Alaska","AK","00","H6AK00144","","Diane E.","Benson","Benson, Diane E.","","D","28,347","41.61%","","","","","","","","","","2008"
"63",64,"Alaska","AK","00","H6AK00094","","Don R.","Wright","Wright, Don R.","","AKI","6,690","100.00%","","","14,274","4.50%","","","","","","2008"
"68",69,"Alaska","AK","S","S8AK00090","","Mark","Begich","Begich, Mark","","D","63,747","90.82%","","","151,767","47.77%","","","","","","2008"
"69",70,"Alaska","AK","S","S8AK00082","","Ray","Metcalfe","Metcalfe, Ray","","D","5,480","7.81%","","","","","","","","","","2008"
"70",71,"Alaska","AK","S","S0AK00097","","Frank J.","Vondersaar","Vondersaar, Frank J.","","D","965","1.37%","","","","","","","","","","2008"
"72",73,"Alaska","AK","S","S2AK00010","(I)","Ted","Stevens","Stevens, Ted","","R","66,900","63.52%","","","147,814","46.52%","","","","","","2008"
"73",74,"Alaska","AK","S","S6AK00078","","David W.","Cuddy","Cuddy, David W.","","R","28,364","26.93%","","","","","","","","","","2008"
"74",75,"Alaska","AK","S","S8AK00124","","Vic","Vickers","Vickers, Vic","","R","6,102","5.79%","","","","","","","","","","2008"
"75",76,"Alaska","AK","S","S8AK00132","","Michael D.","Corey","Corey, Michael D.","","R","1,496","1.42%","","","","","","","","","","2008"
"76",77,"Alaska","AK","S","S8AK00108","","Roderic H. ""Rick""","Sikma","Sikma, Roderic H. ""Rick""","","R","1,133","1.08%","","","","","","","","","","2008"
"77",78,"Alaska","AK","S","S8AK00157","","Rich M.","Wanda","Wanda, Rich M.","","R","732","0.69%","","","","","","","","","","2008"
"78",79,"Alaska","AK","S","S8AK00140","","Gerald L. ""Jerry""","Heikes","Heikes, Gerald L. ""Jerry""","","R","599","0.57%","","","","","","","","","","2008"
"80",81,"Alaska","AK","S","S0AK00105","","Bob","Bird","Bird, Bob","","AKI","4,216","100.00%","","","13,197","4.15%","","","","","","2008"
"82",83,"Alaska","AK","S","S8AK00165","","Fredrick D. ""David""","Haase","Haase, Fredrick D. ""David""","","LBT","1,375","100.00%","","","2,483","0.78%","","","","","","2008"
"84",85,"Alaska","AK","S","S4AK00115","","Ted","Gianoutsos","Gianoutsos, Ted","","NNE","n/a","","","","1,385","0.44%","","","","","","2008"
"87",88,"American Samoa","AS","00","H0AS00018","(I)","Eni F. H.","Faleomavaega","Faleomavaega, Eni F. H.","","D","n/a","","","","7,499","60.38%","","","","","","2008"
"88",89,"American Samoa","AS","00","H8AS00052","","Rosie F. Tago","Lancaster","Lancaster, Rosie F. Tago","","I","n/a","","","","570","4.59%","","","","","","2008"
"89",90,"American Samoa","AS","00","H4AS00036","","Aumua","Amata","Amata, Aumua","","R","n/a","","","","4,350","35.03%","","","","","","2008"
"92",93,"Arizona","AZ","01","H8AZ01104","","Ann","Kirkpatrick","Kirkpatrick, Ann","","D","26,734","47.24%","","","155,791","55.88%","","","","","","2008"
"93",94,"Arizona","AZ","01","H8AZ01096","","Mary Kim","Titla","Titla, Mary Kim","","D","18,428","32.56%","","","","","","","","","","2008"
"94",95,"Arizona","AZ","01","H8AZ01070","","Howard","Shanker","Shanker, Howard","","D","8,056","14.23%","","","","","","","","","","2008"
"95",96,"Arizona","AZ","01","H8AZ01138","","Jeffrey","Brown","Brown, Jeffrey","","D","3,376","5.97%","","","","","","","","","","2008"
"97",98,"Arizona","AZ","01","H2AZ01149","","Sydney","Hay","Hay, Sydney","","R","17,825","39.06%","","","109,924","39.43%","","","","","","2008"
"98",99,"Arizona","AZ","01","H8AZ01179","","Sandra L. B.","Livingstone","Livingstone, Sandra L. B.","","R","15,621","34.23%","","","","","","","","","","2008"
"99",100,"Arizona","AZ","01","H8AZ01187","","Tom","Hansen","Hansen, Tom","","R","7,847","17.20%","","","","","","","","","","2008"
"100",101,"Arizona","AZ","01","H8AZ01195","","Barry","Hall","Hall, Barry","","R","2,743","6.01%","","","","","","","","","","2008"
"101",102,"Arizona","AZ","01","H8AZ01146","","Preston","Korn","Korn, Preston","","R","1,596","3.50%","","","","","","","","","","2008"
"103",104,"Arizona","AZ","01","H8AZ01120","","Brent","Maupin","Maupin, Brent","","I","n/a","n/a","","","9,394","3.37%","","","","","","2008"
"104",105,"Arizona","AZ","01","H8AZ01203","","Thane","Eichenauer","Eichenauer, Thane","","W(LBT)/LBT","43","100.00%","","","3,678","1.32%","","","","","","2008"
"107",108,"Arizona","AZ","02","H4AZ04024","(I)","Trent","Franks","Franks, Trent","","R","58,707","100.00%","","","200,914","59.44%","","","","","","2008"
"109",110,"Arizona","AZ","02","H6AZ02155","","John","Thrasher","Thrasher, John","","D","27,711","100.00%","","","125,611","37.16%","","","","","","2008"
"111",112,"Arizona","AZ","02","H4AZ02119","","Powell","Gammill","Gammill, Powell","","LBT","199","100.00%","","","7,882","2.33%","","","","","","2008"
"113",114,"Arizona","AZ","02","H6AZ00027","","William","Crum","Crum, William","","GRE","118","100.00%","","","3,616","1.07%","","","","","","2008"
"116",117,"Arizona","AZ","03","H4AZ04016","(I)","John","Shadegg","Shadegg, John","","R","43,538","100.00%","","","148,800","54.08%","","","","","","2008"
"118",119,"Arizona","AZ","03","H8AZ03100","","Bob","Lord","Lord, Bob","","D","22,554","100.00%","","","115,759","42.07%","","","","","","2008"
"120",121,"Arizona","AZ","03","H8AZ03134","","Michael","Shoen","Shoen, Michael","","LBT","228","100.00%","","","10,602","3.85%","","","","","","2008"
"123",124,"Arizona","AZ","04","H2AZ02055","(I)","Ed","Pastor","Pastor, Ed","","D","18,660","100.00%","","","89,721","72.11%","","","","","","2008"
"125",126,"Arizona","AZ","04","H2AZ04101","","Don","Karg","Karg, Don","","R","8,073","99.90%","","","26,435","21.25%","","","","","","2008"
"126",127,"Arizona","AZ","04","H8AZ06012","","Richard","Grayson","Grayson, Richard","","W(R)","8","0.10%","","","","","","","","","","2008"
"128",129,"Arizona","AZ","04","H8AZ04116","","Rebecca","DeWitt","DeWitt, Rebecca","","GRE","71","100.00%","","","4,464","3.59%","","","","","","2008"
"130",131,"Arizona","AZ","04","H8AZ04124","","Joe","Cobb","Cobb, Joe","","LBT","156","100.00%","","","3,807","3.06%","","","","","","2008"
"133",134,"Arizona","AZ","05","H6AZ05067","(I)","Harry","Mitchell","Mitchell, Harry","","D","25,174","100.00%","","","149,033","53.16%","","","","","","2008"
"135",136,"Arizona","AZ","05","H4AZ06045","","David","Schweikert","Schweikert, David","","R","14,233","29.50%","","","122,165","43.57%","","","","","","2008"
"136",137,"Arizona","AZ","05","H4AZ01061","","Susan","Bitter Smith","Bitter Smith, Susan","","R","13,212","27.38%","","","","","","","","","","2008"
"137",138,"Arizona","AZ","05","H8AZ05089","","Laura","Knaperek","Knaperek, Laura","","R","7,523","15.59%","","","","","","","","","","2008"
"138",139,"Arizona","AZ","05","H8AZ05113","","Mark","Anderson","Anderson, Mark","","R","6,539","13.55%","","","","","","","","","","2008"
"139",140,"Arizona","AZ","05","H8AZ05071","","Jim","Ogsbury","Ogsbury, Jim","","R","6,042","12.52%","","","","","","","","","","2008"
"140",141,"Arizona","AZ","05","H8AZ05121","","Lee","Gentry","Gentry, Lee","","R","706","1.46%","","","","","","","","","","2008"
"142",143,"Arizona","AZ","05","H2AZ05124","","Warren","Severin","Severin, Warren","","LBT","207","100.00%","","","9,158","3.27%","","","","","","2008"
"144",145,"Arizona","AZ","05","H8AZ05147","","Ralph","Hughes","Hughes, Ralph","","W","n/a","n/a","","","9","0.00%","","","","","","2008"
"146",147,"Arizona","AZ","06","H0AZ01184","(I)","Jeff","Flake","Flake, Jeff","","R","51,562","100.00%","","","208,582","62.42%","","","","","","2008"
"148",149,"Arizona","AZ","06","H8AZ06053","","Rebecca ","Schneider","Schneider, Rebecca ","","D","15,644","73.75%","","","115,457","34.55%","","","","","","2008"
"149",150,"Arizona","AZ","06","H8AZ06046","","Chris","Gramazio","Gramazio, Chris","","D","5,568","26.25%","","","","","","","","","","2008"
"151",152,"Arizona","AZ","06","H8AZ06061","","Rick","Biondi","Biondi, Rick","","LBT","175","100.00%","","","10,137","3.03%","","","","","","2008"
"154",155,"Arizona","AZ","07","H2AZ07070","(I)","Raúl","Grijalva","Grijalva, Raúl","","D","30,630","100.00%","","","124,304","63.26%","","","","","","2008"
"156",157,"Arizona","AZ","07","H4AZ02010","","Joseph","Sweeney","Sweeney, Joseph","","R","11,011","66.83%","","","64,425","32.79%","","","","","","2008"
"157",158,"Arizona","AZ","07","H8AZ07010","","Gene","Chewning","Chewning, Gene","","R","5,464","33.17%","","","","","","","","","","2008"
"159",160,"Arizona","AZ","07","H8AZ07036","","Raymond Patrick","Petrulsky","Petrulsky, Raymond Patrick","","W(LBT)/LBT","33","100.00%","","","7,755","3.95%","","","","","","2008"
"161",162,"Arizona","AZ","07","H8AZ07028","","Harley","Meyer","Meyer, Harley","","W","n/a","n/a","","","5","0.00%","","","","","","2008"
"163",164,"Arizona","AZ","08","H6AZ08038","(I)","Gabrielle","Giffords","Giffords, Gabrielle","","D","46,223","100.00%","","","179,629","54.72%","","","","","","2008"
"165",166,"Arizona","AZ","08","H8AZ08018","","Tim","Bee","Bee, Tim","","R","52,671","100.00%","","","140,553","42.82%","","","","","","2008"
"167",168,"Arizona","AZ","08","H8AZ08042","","Paul","Davis","Davis, Paul","","W(LBT)/W","40","100.00%","","","8,081","2.46%","","","","","","2008"
"169",170,"Arizona","AZ","08","H6AZ08160","","Paul","Price","Price, Paul","","W","n/a","n/a","","","3","0.00%","","","","","","2008"
"172",173,"Arkansas","AR","01","H6AR01072","(I)","Marion","Berry","Berry, Marion","","D","Unopposed","","","","Unopposed","","","","","","","2008"
"174",175,"Arkansas","AR","02","H6AR02203","(I)","Vic","Snyder","Snyder, Vic","","D","Unopposed","","","","212,303","76.54%","","","","","","2008"
"175",176,"Arkansas","AR","02","H8AR02100","","Deb","McFarland","McFarland, Deb","","GRE","","","","","64,398","23.22%","","","","","","2008"
"176",177,"Arkansas","AR","02","H8AR02118","","Danial","Suits","Suits, Danial","","W","","","","","665","0.24%","","","","","","2008"
"178",179,"Arkansas","AR","03","H2AR03176","(I)","John","Boozman","Boozman, John","","R","Unopposed","","","","215,196","78.53%","","","","","","2008"
"179",180,"Arkansas","AR","03","H8AR03058","","Abel Noah","Tomlinson","Tomlinson, Abel Noah","","GRE","","","","","58,850","21.47%","","","","","","2008"
"181",182,"Arkansas","AR","04","H0AR04038","(I)","Mike","Ross","Ross, Mike","","D","Unopposed","","","","203,178","86.17%","","","","","","2008"
"182",183,"Arkansas","AR","04","H8AR04098","","Joshua","Drake","Drake, Joshua","","GRE","","","","","32,603","13.83%","","","","","","2008"
"185",186,"Arkansas","AR","S","S0AR00028","(I)","Mark","Pryor","Pryor, Mark","","D","Unopposed","","","","804,678","79.53%","","","","","","2008"
"186",187,"Arkansas","AR","S","S8AR00179","","Rebekah","Kennedy","Kennedy, Rebekah","","GRE","n/a","","","","207,076","20.47%","","","","","","2008"
"188",189,"California","CA","01","H8CA01109","(I)","Mike","Thompson","Thompson, Mike","","D","69,622","87.71%","","","197,812","68.10%","","","","","","2008"
"189",190,"California","CA","01","H8CA01166","","Mitchell","Clogg","Clogg, Mitchell","","D","9,752","12.29%","","","","","","","","","","2008"
"191",192,"California","CA","01","H8CA01174","","Zane","Starkewolf","Starkewolf, Zane","","R","18,346","54.00%","","","67,853","23.36%","","","","","","2008"
"192",193,"California","CA","01","H8CA01158","","Douglas","Pharr","Pharr, Douglas","","R","15,628","46.00%","","","","","","","","","","2008"
"194",195,"California","CA","01","H8CA01182","","Carol","Wolman","Wolman, Carol","","GRE","2,101","100.00%","","","24,793","8.54%","","","","","","2008"
