"","X1","STATE","STATE.ABBREVIATION","DISTRICT","FEC.ID.","incumbent","candidate.first","candidate.last","candidate.name","TOTAL.VOTES","PARTY","PRIMARY","primary.perc","RUNOFF","runoff.perc","GENERAL","GE.perc","COMBINED.GE.PARTY.TOTALS..CT..NY..SC.","COMBINED....CT..NY..SC.","FOOTNOTES","X","X.1","X.2","year"
"1",2,"Alabama","AL","01","H2AL01077","(I)","Jo","Bonner","Bonner, Jo","","R","56,937","75.25%","","","129,063","82.58%","","","","",NA,NA,"2010"
"2",3,"Alabama","AL","01","H0AL01030","","Peter","Gounares","Gounares, Peter","","R","18,725","24.75%","","","","","","","","",NA,NA,"2010"
"4",5,"Alabama","AL","01","H0AL01048","","David","Walter","Walter, David","","CPA","","","","","26,357","16.87%","","","","",NA,NA,"2010"
"8",9,"Alabama","AL","02","H0AL02087","","Martha","Roby","Roby, Martha","","R","36,295","48.55%","39,169","60.02%","111,645","50.97%","","","","",NA,NA,"2010"
"9",10,"Alabama","AL","02","H0AL02103","","Rick","Barber","Barber, Rick","","R","21,313","28.51%","26,091","39.98%","","","","","","",NA,NA,"2010"
"10",11,"Alabama","AL","02","H0AL02111","","Stephanie","Bell","Bell, Stephanie","","R","13,797","18.46%","","","","","","","","",NA,NA,"2010"
"11",12,"Alabama","AL","02","H0AL02129","","John Beau, III","McKinney","McKinney, John Beau, III","","R","3,349","4.48%","","","","","","","","",NA,NA,"2010"
"13",14,"Alabama","AL","02","H8AL02130","(I)","Bobby","Bright","Bright, Bobby","","D","Unopposed","","","","106,865","48.79%","","","","",NA,NA,"2010"
"17",18,"Alabama","AL","03","H2AL03032","(I)","Mike","Rogers","Rogers, Mike","","R","Unopposed","","","","117,736","59.42%","","","","",NA,NA,"2010"
"18",19,"Alabama","AL","03","H0AL03184","","Steve","Segrest","Segrest, Steve","","D","Unopposed","","","","80,204","40.48%","","","","",NA,NA,"2010"
"22",23,"Alabama","AL","04","H6AL04098","(I)","Robert","Aderholt","Aderholt, Robert","","R","Unopposed","","","","167,714","98.82%","","","","",NA,NA,"2010"
"26",27,"Alabama","AL","05","H0AL05163","","Mo","Brooks","Brooks, Mo","","R","35,746","50.81%","","","131,109","57.89%","","","","",NA,NA,"2010"
"27",28,"Alabama","AL","05","H8AL05109","(I)","Parker","Griffith","Griffith, Parker","","R","23,525","33.44%","","","","","","","","",NA,NA,"2010"
"28",29,"Alabama","AL","05","H0AL05155","","Les","Phillip","Phillip, Les","","R","11,085","15.76%","","","","","","","","",NA,NA,"2010"
"30",31,"Alabama","AL","05","H0AL05197","","Steve","Raby","Raby, Steve","","D","27,814","61.67%","","","95,192","42.03%","","","","",NA,NA,"2010"
"31",32,"Alabama","AL","05","H0AL05189","","Taze","Shepard","Shepard, Taze","","D","10,262","22.75%","","","","","","","","",NA,NA,"2010"
"32",33,"Alabama","AL","05","H0AL05171","","Mitchell J.","Howie","Howie, Mitchell J.","","D","5,277","11.70%","","","","","","","","",NA,NA,"2010"
"33",34,"Alabama","AL","05","H8AL05117","","David J.","Maker","Maker, David J.","","D","1,751","3.88%","","","","","","","","",NA,NA,"2010"
"38",39,"Alabama","AL","06","H2AL06035","(I)","Spencer","Bachus","Bachus, Spencer","","R","80,725","75.64%","","","205,288","98.05%","","","","",NA,NA,"2010"
"39",40,"Alabama","AL","06","H0AL06088","","Stan","Cooke","Cooke, Stan","","R","25,997","24.36%","","","","","","","","",NA,NA,"2010"
"44",45,"Alabama","AL","07","H0AL07086","","Terri A.","Sewell","Sewell, Terri A.","","D","31,531","36.80%","32,366","55.00%","136,696","72.43%","","","","",NA,NA,"2010"
"45",46,"Alabama","AL","07","H0AL07102","","Shelia","Smoot","Smoot, Shelia","","D","24,490","28.59%","26,481","45.00%","","","","","","",NA,NA,"2010"
"46",47,"Alabama","AL","07","H0AL07094","","Earl, Jr.","Hilliard","Hilliard, Earl, Jr.","","D","22,981","26.82%","","","","","","","","",NA,NA,"2010"
"47",48,"Alabama","AL","07","H0AL00016","","Martha","Bozeman","Bozeman, Martha","","D","6,672","7.79%","","","","","","","","",NA,NA,"2010"
"49",50,"Alabama","AL","07","H0AL07177","","Don","Chamberlain","Chamberlain, Don","","R","6,166","37.58%","11,783","55.76%","51,890","27.50%","","","","",NA,NA,"2010"
"50",51,"Alabama","AL","07","H0AL07185","","Chris","Salter","Salter, Chris","","R","4,826","29.42%","9,349","44.24%","","","","","","",NA,NA,"2010"
"51",52,"Alabama","AL","07","H0AL07144","","Michele","Waller","Waller, Michele","","R","2,804","17.09%","","","","","","","","",NA,NA,"2010"
"52",53,"Alabama","AL","07","H0AL07169","","Carol F.","Hendrickson","Hendrickson, Carol F.","","R","2,610","15.91%","","","","","","","","",NA,NA,"2010"
"60",61,"Alabama","AL","S","S6AL00013","(I)","Richard C.","Shelby","Shelby, Richard C.","","R","405,398","84.35%","","","968,181","65.18%","","","","",NA,NA,"2010"
"61",62,"Alabama","AL","S","S0AL00180","","N.C. ""Clint""","Moser","Moser, N.C. ""Clint""","","R","75,190","15.65%","","","","","","","","",NA,NA,"2010"
"63",64,"Alabama","AL","S","S0AL00164","","William G.","Barnes","Barnes, William G.","","D","160,993","60.77%","","","515,619","34.71%","","","","",NA,NA,"2010"
"64",65,"Alabama","AL","S","S0AL00172","","Simone D.","De Moore","De Moore, Simone D.","","D","103,942","39.23%","","","","","","","","",NA,NA,"2010"
"69",70,"Alaska","AK","00","H6AK00045","(I)","Don","Young","Young, Don","","R","74,310","70.35%","","","175,384","68.96%","","","","",NA,NA,"2010"
"70",71,"Alaska","AK","00","H0AK01038","","Sheldon","Fisher","Fisher, Sheldon","","R","24,709","23.39%","","","","","","","","",NA,NA,"2010"
"71",72,"Alaska","AK","00","H0AK00097","","John R. ","Cox","Cox, John R. ","","R","6,605","6.25%","","","","","","","","",NA,NA,"2010"
"73",74,"Alaska","AK","00","H0AK00089","","Harry T., Jr.","Crawford","Crawford, Harry T., Jr.","","D","38,673","100.00%","","","77,606","30.51%","","","","",NA,NA,"2010"
"80",81,"Alaska","AK","S","S4AK00099","(I)","Lisa ","Murkowski","Murkowski, Lisa ","","REP/W***","53,872","49.09%","","","92,931","36.08%","","","","",NA,NA,"2010"
"81",82,"Alaska","AK","S","S0AK00121","","Joe","Miller","Miller, Joe","","R","55,878","50.91%","","","90,839","35.27%","","","","",NA,NA,"2010"
"83",84,"Alaska","AK","S","S0AK00139","","Scott T.","McAdams","McAdams, Scott T.","","D","18,035","59.55%","","","60,045","23.32%","","","","",NA,NA,"2010"
"84",85,"Alaska","AK","S","S0AK00147","","Jacob Seth","Kern","Kern, Jacob Seth","","D","6,913","22.82%","","","","","","","","",NA,NA,"2010"
