"","X1","STATE.ABBREVIATION","STATE","DISTRICT","FEC.ID.","incumbent","candidate.first","candidate.last","candidate.name","TOTAL.VOTES","PARTY","PRIMARY","primary.perc","RUNOFF","runoff.perc","GENERAL","GE.perc","GE.RUNOFF.ELECTION.VOTES..LA.","GE.RUNOFF.ELECTION....LA.","COMBINED.GE.PARTY.TOTALS..CT..NY..SC.","COMBINED....CT..NY..SC.","GE.WINNER.INDICATOR","FOOTNOTES","X","year"
"2",3,"AL","Alabama","01","H2AL01077","(I)","Jo","Bonner","Bonner, Jo","","R","48,702","55.55%","","","196,374","97.86%","","","","","W","",NA,"2012"
"3",4,"AL","Alabama","01","H2AL01176","","Dean","Young","Young, Dean","","R","21,308","24.30%","","","","","","","","","","",NA,"2012"
"4",5,"AL","Alabama","01","H2AL01184","","Pete","Riehm","Riehm, Pete","","R","13,809","15.75%","","","","","","","","","","",NA,"2012"
"5",6,"AL","Alabama","01","H0AL01030","","Peter","Gounares","Gounares, Peter","","R","3,854","4.40%","","","","","","","","","","",NA,"2012"
"10",11,"AL","Alabama","02","H0AL02087","(I)","Martha","Roby","Roby, Martha","","R","Unopposed","","","","180,591","63.60%","","","","","W","",NA,"2012"
"11",12,"AL","Alabama","02","H2AL02141","","Therese","Ford","Ford, Therese","","D","Unopposed","","","","103,092","36.31%","","","","","","",NA,"2012"
"15",16,"AL","Alabama","03","H2AL03032","(I)","Mike","Rogers","Rogers, Mike","","R","Unopposed","","","","175,306","64.00%","","","","","W","",NA,"2012"
"16",17,"AL","Alabama","03","H2AL03099","","John Andrew","Harris","Harris, John Andrew","","D","Unopposed","","","","98,141","35.83%","","","","","","",NA,"2012"
"20",21,"AL","Alabama","04","H6AL04098","(I)","Robert","Aderholt","Aderholt, Robert","","R","Unopposed","","","","199,071","73.97%","","","","","W","",NA,"2012"
"21",22,"AL","Alabama","04","H2AL04055","","Daniel H.","Boman","Boman, Daniel H.","","D","10,971","51.45%","","","69,706","25.90%","","","","","","",NA,"2012"
"22",23,"AL","Alabama","04","H2AL04063","","Rick","Neighbors","Neighbors, Rick","","D","10,353","48.55%","","","","","","","","","","",NA,"2012"
"27",28,"AL","Alabama","05","H0AL05163","(I)","Mo","Brooks","Brooks, Mo","","R","65,163","70.94%","","","189,185","64.95%","","","","","W","",NA,"2012"
"28",29,"AL","Alabama","05","H8AL05109","","Parker","Griffith","Griffith, Parker","","R","26,694","29.06%","","","","","","","","","","",NA,"2012"
"30",31,"AL","Alabama","05","H2AL05094","","Charlie L.","Holley","Holley, Charlie L.","","D","Unopposed","","","","101,772","34.94%","","","","","","",NA,"2012"
"34",35,"AL","Alabama","06","H2AL06035","(I)","Spencer","Bachus","Bachus, Spencer","","R","63,360","61.45%","","","219,262","71.17%","","","","","W","",NA,"2012"
"35",36,"AL","Alabama","06","H2AL06126","","Scott","Beason","Beason, Scott","","R","28,673","27.81%","","","","","","","","","","",NA,"2012"
"36",37,"AL","Alabama","06","H2AL06100","","David","Standridge","Standridge, David","","R","8,120","7.87%","","","","","","","","","","",NA,"2012"
"37",38,"AL","Alabama","06","H2AL06134","","Al","Mickle","Mickle, Al","","R","2,930","2.84%","","","","","","","","","","",NA,"2012"
"40",41,"AL","Alabama","06","H2AL06142","","Penny ""Colonel""","Bailey","Bailey, Penny ""Colonel""","","D","5,061","61.05%","","","88,267","28.65%","","","","","","",NA,"2012"
"41",42,"AL","Alabama","06","H2AL06159","","William","Barnes","Barnes, William","","D","3,229","38.95%","","","","","","","","","","",NA,"2012"
"46",47,"AL","Alabama","07","H0AL07086","(I)","Terri A.","Sewell","Sewell, Terri A.","","D","Unopposed","","","","232,520","75.85%","","","","","W","",NA,"2012"
"47",48,"AL","Alabama","07","H0AL07177","","Don","Chamberlain","Chamberlain, Don","","R","11,537","66.10%","","","73,835","24.09%","","","","","","",NA,"2012"
"48",49,"AL","Alabama","07","H2AL07165","","Phillip","Norris","Norris, Phillip","","R","5,918","33.90%","","","","","","","","","","",NA,"2012"
"55",56,"AK","Alaska","00","H6AK00045","(I)","Don","Young","Young, Don","","R","58,789","78.59%","","","185,296","63.94%","","","","","W","",NA,"2012"
"56",57,"AK","Alaska","00","H0AK00097","","John R.","Cox","Cox, John R.","","R","11,179","14.94%","","","","","","","","","","",NA,"2012"
"57",58,"AK","Alaska","00","H2AK00135","","Terré L.","Gales","Gales, Terré L.","","R","4,841","6.47%","","","","","","","","","","",NA,"2012"
"59",60,"AK","Alaska","00","H2AK00119","","Sharon M.","Cissna","Cissna, Sharon M.","","D","16,329","50.32%","","","82,927","28.61%","","","","","","",NA,"2012"
"60",61,"AK","Alaska","00","H2AK00101","","Matt","Moore","Moore, Matt","","D","7,374","22.73%","","","","","","","","","","",NA,"2012"
"61",62,"AK","Alaska","00","H2AK00127","","Debra","Chesnut","Chesnut, Debra","","D","5,626","17.34%","","","","","","","","","","",NA,"2012"
"62",63,"AK","Alaska","00","H4AK00057","","Frank J.","Vondersaar","Vondersaar, Frank J.","","D","2,085","6.43%","","","","","","","","","","",NA,"2012"
"63",64,"AK","Alaska","00","H2AK00093","","Doug","Urquidi","Urquidi, Doug","","D","1,034","3.19%","","","","","","","","","","",NA,"2012"
"65",66,"AK","Alaska","00","H2AK00143","","Jim C.","McDermott","McDermott, Jim C.","","LIB","5,741","100.00%","","","15,028","5.19%","","","","","","",NA,"2012"
"67",68,"AK","Alaska","00","H2AK00176","","Ted","Gianoutsos","Gianoutsos, Ted","","NAF","","","","","5,589","1.93%","","","","","","",NA,"2012"
"73",74,"AS","American Samoa","00","H0AS00018","(I)","Eni F.H.","Faleomavaega","Faleomavaega, Eni F.H.","","D","","","","","7,221","55.22%","","","","","W","",NA,"2012"
"74",75,"AS","American Samoa","00","H4AS00036","","Aumua","Amata","Amata, Aumua","","CON","","","","","4,420","33.80%","","","","","","",NA,"2012"
"75",76,"AS","American Samoa","00","H8AS00052","","Rosie F. Tago","Lancaster","Lancaster, Rosie F. Tago","","IND","","","","","697","5.33%","","","","","","",NA,"2012"
"76",77,"AS","American Samoa","00","H2AS00055","","Kereti, Jr.","Mata'utia","Mata'utia, Kereti, Jr.","","D","","","","","438","3.35%","","","","","","",NA,"2012"
"77",78,"AS","American Samoa","00","H2AS00063","","Fatumalala Leulua'iali'i A.","Al-Sheri","Al-Sheri, Fatumalala Leulua'iali'i A.","","NPA","","","","","300","2.29%","","","","","","",NA,"2012"
"83",84,"AZ","Arizona","01","H8AZ01104","","Ann","Kirkpatrick","Kirkpatrick, Ann","","D","33,831","63.74%","","","122,774","48.80%","","","","","W","",NA,"2012"
"84",85,"AZ","Arizona","01","H2AZ01271","","Wenona","Benally Baldenegro","Benally Baldenegro, Wenona","","D","19,247","36.26%","","","","","","","","","","",NA,"2012"
"86",87,"AZ","Arizona","01","H0AZ08056","","Jonathan","Paton","Paton, Jonathan","","R","28,644","60.86%","","","113,594","45.15%","","","","","","",NA,"2012"
"87",88,"AZ","Arizona","01","H2AZ01305","","Gaither","Martin","Martin, Gaither","","R","8,958","19.03%","","","","","","","","","","",NA,"2012"
"88",89,"AZ","Arizona","01","H2AZ01289","","Douglas","Wade","Wade, Douglas","","R","6,758","14.36%","","","","","","","","","","",NA,"2012"
"89",90,"AZ","Arizona","01","H2AZ01313","","Patrick","Gatti","Gatti, Patrick","","R","2,707","5.75%","","","","","","","","","","",NA,"2012"
"91",92,"AZ","Arizona","01","H2AZ01321","","Kim","Allen","Allen, Kim","","W(LIB)/LIB","97","100.00%","","","15,227","6.05%","","","","","","",NA,"2012"
"95",96,"AZ","Arizona","02","H2AZ08094","(I)","Ron ","Barber","Barber, Ron ","","D","51,206","82.03%","","","147,338","50.41%","","","","","W","",NA,"2012"
"96",97,"AZ","Arizona","02","H2AZ08078","","Matt","Heinz","Heinz, Matt","","D","11,213","17.96%","","","","","","","","","","",NA,"2012"
"97",98,"AZ","Arizona","02","H2AZ08128","","Charlie","Manolakis","Manolakis, Charlie","","W(D)","4","0.01%","","","","","","","","","","",NA,"2012"
"99",100,"AZ","Arizona","02","H2AZ08102","","Martha ","McSally","McSally, Martha ","","R","52,809","81.70%","","","144,884","49.57%","","","","","","",NA,"2012"
"100",101,"AZ","Arizona","02","H2AZ08110","","Mark","Koskiniemi","Koskiniemi, Mark","","R","11,828","18.30%","","","","","","","","","","",NA,"2012"
"102",103,"AZ","Arizona","02","H2AZ08045","","Anthony","Prowell","Prowell, Anthony","","W","","","","","57","0.02%","","","","","","",NA,"2012"
"105",106,"AZ","Arizona","03","H2AZ07070","(I)","Raúl M.","Grijalva","Grijalva, Raúl M.","","D","24,044","65.63%","","","98,468","58.37%","","","","","W","",NA,"2012"
"106",107,"AZ","Arizona","03","H2AZ03137","","Amanda","Aguirre","Aguirre, Amanda","","D","9,484","25.89%","","","","","","","","","","",NA,"2012"
"107",108,"AZ","Arizona","03","H2AZ03111","","Manny","Arreguin","Arreguin, Manny","","D","3,105","8.48%","","","","","","","","","","",NA,"2012"
"109",110,"AZ","Arizona","03","H2AZ07146","","Gabriela","Saucedo Mercer","Saucedo Mercer, Gabriela","","R","12,474","65.32%","","","62,663","37.15%","","","","","","",NA,"2012"
"110",111,"AZ","Arizona","03","H2AZ07161","","Jaime","Vasquez","Vasquez, Jaime","","R","6,622","34.68%","","","","","","","","","","",NA,"2012"
"112",113,"AZ","Arizona","03","H2AZ03145","","Blanca","Guerra","Guerra, Blanca","","LIB","116","100.00%","","","7,567","4.49%","","","","","","",NA,"2012"
"116",117,"AZ","Arizona","04","H0AZ01259","(I)","Raul","Gosar","Gosar, Raul","","R","40,033","51.35%","","","162,907","66.83%","","","","","W","",NA,"2012"
