"","X1","STATE.ABBREVIATION","STATE","DISTRICT","FEC.ID.","incumbent","candidate.first","candidate.last","candidate.name","TOTAL.VOTES","PARTY","PRIMARY","primary.perc","RUNOFF","runoff.perc","GENERAL","GE.perc","GE.RUNOFF.ELECTION.VOTES..LA.","GE.RUNOFF.ELECTION....LA.","COMBINED.GE.PARTY.TOTALS..CT..NY..SC.","COMBINED....CT..NY..SC.","GE.WINNER.INDICATOR","FOOTNOTES","X","X.1","year"
"1",2,"AL","Alabama","01","H4AL01123","(I)","Bradley","Byrne","Byrne, Bradley","","R","Unopposed","","","","103,758","68.16%","","","","","W","",NA,NA,"2014"
"2",3,"AL","Alabama","01","H4AL01156","","Burton R.","LeFlore","LeFlore, Burton R.","","D","Unopposed","","","","48,278","31.71%","","","","","","",NA,NA,"2014"
"6",7,"AL","Alabama","02","H0AL02087","(I)","Martha","Roby","Roby, Martha","","R","Unopposed","","","","113,103","67.34%","","","","","W","",NA,NA,"2014"
"7",8,"AL","Alabama","02","H4AL02071","","Erick","Wright","Wright, Erick","","D","Unopposed","","","","54,692","32.56%","","","","","","",NA,NA,"2014"
"11",12,"AL","Alabama","03","H2AL03032","(I)","Mike","Rogers","Rogers, Mike","","R","50,372","75.89%","","","103,558","66.12%","","","","","W","",NA,NA,"2014"
"12",13,"AL","Alabama","03","H4AL03053","","Thomas","Casson","Casson, Thomas","","R","15,999","24.11%","","","","","","","","","","",NA,NA,"2014"
"14",15,"AL","Alabama","03","H4AL03061","","Jesse T.","Smith","Smith, Jesse T.","","D","Unopposed","","","","52,816","33.72%","","","","","","",NA,NA,"2014"
"18",19,"AL","Alabama","04","H6AL04098","(I)","Robert","Aderholt","Aderholt, Robert","","R","Unopposed","","","","132,831","98.57%","","","","","W","",NA,NA,"2014"
"22",23,"AL","Alabama","05","H0AL05163","(I)","Mo","Brooks","Brooks, Mo","","R","49,117","80.32%","","","115,338","74.42%","","","","","W","",NA,NA,"2014"
"23",24,"AL","Alabama","05","H4AL05074","","Jerry","Hill","Hill, Jerry","","R","12,038","19.68%","","","","","","","","","","",NA,NA,"2014"
"25",26,"AL","Alabama","05","H4AL05082","","Mark","Bray","Bray, Mark","","IND","","","","","39,005","25.17%","","","","","","",NA,NA,"2014"
"29",30,"AL","Alabama","06","H4AL06098","","Gary","Palmer","Palmer, Gary","","R","18,655","19.73%","47,525","63.49%","135,945","76.18%","","","","","W","",NA,NA,"2014"
"30",31,"AL","Alabama","06","H4AL06080","","Paul","DeMarco","DeMarco, Paul","","R","30,894","32.68%","27,333","36.51%","","","","","","","","",NA,NA,"2014"
"31",32,"AL","Alabama","06","H2AL06126","","Scott","Beason","Beason, Scott","","R","14,451","15.29%","","","","","","","","","","",NA,NA,"2014"
"32",33,"AL","Alabama","06","H4AL06072","","Chad","Mathis","Mathis, Chad","","R","14,420","15.25%","","","","","","","","","","",NA,NA,"2014"
