"","STATE.ABBREVIATION","candidate.last","year","X","X1","STATE","DISTRICT","FEC.ID.","incumbent","candidate.first","candidate.name","TOTAL.VOTES","PARTY","PRIMARY","primary.perc","RUNOFF","runoff.perc","GENERAL","GE.perc","woman"
"1","AK","Begich",2008,68,69,"Alaska","S","S8AK00090","","Mark","Begich, Mark",NA,"D","63,747","90.82%","","","151,767","47.77%",0
"2","AK","Begich",2014,41301,11,"Alaska","S","S8AK00090 ","(I)","Mark","Begich, Mark",NA,"D","58,092","96.63%","","","129,431","45.83%",0
"3","AK","Benson",2008,61,62,"Alaska","00","H6AK00144","","Diane E.","Benson, Diane E.",NA,"D","28,347","41.61%","","","","",1
"4","AK","Berkowitz",2008,60,61,"Alaska","00","H8AK00108","","Ethan A.","Berkowitz, Ethan A.",NA,"D","39,784","58.39%","","","142,560","44.97%",0
"5","AK","Bird",2008,80,81,"Alaska","S","S0AK00105","","Bob","Bird, Bob",NA,"AKI","4,216","100.00%","","","13,197","4.15%",0
"6","AK","Bryk",2014,4131,12,"Alaska","S","S4AK00222 ","","William ""Bill""","Bryk, William ""Bill""",NA,"D","2,024","3.37%","","","","",0
"7","AK","Carter",2010,91,92,"Alaska","S","S0AK00154","","Tim","Carter, Tim",NA,"NAF","","","","","927","0.36%",0
"8","AK","Chesnut",2012,6111,62,"Alaska","00","H2AK00127","","Debra","Chesnut, Debra",NA,"D","5,626","17.34%","","","","",1
"9","AK","Cissna",2012,59,60,"Alaska","00","H2AK00119","","Sharon M.","Cissna, Sharon M.",NA,"D","16,329","50.32%","","","82,927","28.61%",1
"10","AK","Corey",2008,75,76,"Alaska","S","S8AK00132","","Michael D.","Corey, Michael D.",NA,"R","1,496","1.42%","","","","",0
"11","AK","Cox",2010,71,72,"Alaska","00","H0AK00097","","John R. ","Cox, John R. ",NA,"R","6,605","6.25%","","","","",0
"12","AK","Cox",2012,56100,57,"Alaska","00","H0AK00097","","John R.","Cox, John R.",NA,"R","11,179","14.94%","","","","",0
"13","AK","Cox",2014,52102,53,"Alaska","00","H0AK00097","","John R.","Cox, John R.",NA,"R","14,497","13.57%","","","","",0
"14","AK","Crawford",2010,7310,74,"Alaska","00","H0AK00089","","Harry T., Jr.","Crawford, Harry T., Jr.",NA,"D","38,673","100.00%","","","77,606","30.51%",0
"15","AK","Cuddy",2008,73,74,"Alaska","S","S6AK00078","","David W.","Cuddy, David W.",NA,"R","28,364","26.93%","","","","",0
"16","AK","Dohner",2014,54,55,"Alaska","00","H4AK00131","","David F. ""Dave""","Dohner, David F. ""Dave""",NA,"R","5,373","5.03%","","","","",0
"17","AK","Dunbar",2014,56101,57,"Alaska","00","H4AK00123","","Forrest ","Dunbar, Forrest ",NA,"D","38,735","80.92%","","","114,602","40.97%",0
