,,"Use of this data for non-commercial purposes is encouraged, provided that clear and visible credit is given to Center for American Women and Politics, Eagleton Institute of Politics, Rutgers University-New Brunswick. Any use of this data for publication or public presentation must credit CAWP. Commercial reproduction requires prior permission in writing from the Center for American Women and Politics.

Suggested In-Text Attribution: Center for American Women and Politics (CAWP) at the Eagleton Institute of Politics at Rutgers University-New Brunswick
Suggested Citation: Center for American Women and Politics (CAWP). Women Statewide and Congressional Candidates Database. New Brunswick, NJ: Eagleton Institute of Politics, Rutgers University-New Brunswick.
",,,,,,,,,,
State,Office,District,First Name,Middle Name,Last Name,Party,Primary Seat Status,General Seat Status,Primary Results,General Result,Race,Year
AK,U.S. Senator,,Lisa,,Murkowski,R,I,I,L,W,W,2010
AL,U.S. Representative,7,Michele,,Waller,R,O,.,L,,W,2010
AL,U.S. Representative,7,Carol,F.,Hendrickson,R,O,.,L,,W,2010
AL,U.S. Representative,7,Martha,,Bozeman,D,O,.,L,,B,2010
AL,U.S. Representative,7,Sheila,,Smoot,D,O,.,L,,B,2010
AL,U.S. Representative,7,Terri,A.,Sewell,D,O,O,W,W,B,2010
AL,U.S. Representative,2,Stephanie,,Bell,R,C,.,L,,W,2010
AL,U.S. Representative,2,Martha,,Roby,R,C,C,W,W,W,2010
AR,U.S. Representative,4,Beth,Anne,Rankin,R,C,C,W,L,W,2010
AR,U.S. Representative,3,Cecile,Herndon,Bledsoe,R,O,.,L,,W,2010
AR,U.S. Representative,2,Joyce,,Elliott,D,O,O,W,L,B,2010
AR,U.S. Representative,1,Princella,D.,Smith,R,O,.,L,,B,2010
AR,U.S. Senator,,Blanche,Lambert,Lincoln,D,I,I,W,L,W,2010
AZ,U.S. Representative,8,Gabrielle,,Giffords,D,I,I,W,W,W,2010
AZ,U.S. Representative,7,Ruth,,McClung,R,C,C,W,L,W,2010
AZ,U.S. Representative,6,Rebecca,,Schneider,D,C,C,W,L,W,2010
AZ,U.S. Representative,5,Susan,,Bitter Smith,R,C,.,L,,W,2010
AZ,U.S. Representative,4,Janet,,Contreras,R,C,C,W,L,H,2010
AZ,U.S. Representative,3,Paulina,,Morris,R,O,.,L,,H,2010
AZ,U.S. Representative,3,LeAnn,,Hull,R,O,.,L,,W,2010
AZ,U.S. Representative,3,Pamela,,Gorman,R,O,.,L,,W,2010
AZ,U.S. Representative,1,Ann,,Kirkpatrick,D,I,I,W,L,W,2010
AZ,U.S. Representative,1,Sydney,Ann,Hay,R,C,.,L,,W,2010
AZ,U.S. Senator,,Cathy,,Eden,D,C,.,L,,W,2010
CA,U.S. Representative,53,Mari,Hamlin,Fink,R,C,.,L,,W,2010
CA,U.S. Representative,53,Susan,A.,Davis,D,I,I,W,W,W,2010
CA,U.S. Representative,52,Terri,R.,Linnell,R,CP,.,L,,W,2010
CA,U.S. Representative,52,Connie,,Frankowiak,D,C,.,L,,W,2010
CA,U.S. Representative,50,Tracy,,Emblem,D,C,.,L,,W,2010
CA,U.S. Representative,50,Francine,P.,Busby,D,C,C,W,L,W,2010
CA,U.S. Representative,48,Beth,,Krom,D,C,C,W,L,W,2010
CA,U.S. Representative,47,Katherine,H.,Smith,R,C,.,L,,W,2010
CA,U.S. Representative,47,Loretta,,Sanchez,D,I,I,W,W,H,2010
CA,U.S. Representative,45,Mary,,Bono Mack,R,I,I,W,W,W,2010
CA,U.S. Representative,40,Christina,,Avalos,D,C,C,W,L,H,2010
CA,U.S. Representative,39,Linda,T.,Sánchez,D,I,I,W,W,H,2010
CA,U.S. Representative,38,Grace,Flores,Napolitano,D,I,I,W,W,H,2010
CA,U.S. Representative,37,Star,,Parker,R,C,C,W,L,B,2010
CA,U.S. Representative,37,Lee,,Davis,D,CP,.,L,,B,2010
CA,U.S. Representative,37,Laura,,Richardson,D,I,I,W,W,B,2010
CA,U.S. Representative,36,Mattie,,Fein,R,C,C,W,L,W,2010
CA,U.S. Representative,36,Marcy,,Winograd,D,CP,.,L,,W,2010
